,molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors,pIC50
5893,CHEMBL4583738,COc1c(C(=O)CCC2CCN(CC3CCCCC3)CC2)cc(Cl)c2c1ccn2S(=O)(=O)c1ccccc1.O=C(O)/C=C/C(=O)O,active,559.0,291.39099999999996,1.3731999999999998,1.0,4.0,6.252588192113577
5894,CHEMBL4578844,O=C(CCC1CCN(CC2CCCCC2)CC1)c1ccc2c(ccn2Cc2ccccc2)c1,active,133.0,246.35399999999998,2.0999999999999996,2.0,2.0,6.876148359032914
5895,CHEMBL4438286,CC1C[C@H]2[C@H](O)[C@@H]3O[C@]4(C1)OC1CCN5CCCC24[C@]13C5,inactive,30000.0,325.50000000000006,3.6933000000000016,2.0,3.0,4.522878745280337
5896,CHEMBL4568349,C=C[C@@H]1[C@@H]2CC3=C(CCC(=O)N3)[C@@]1(N)C[C@H](C)C2,inactive,30000.0,242.32199999999997,1.9975,2.0,2.0,4.522878745280337
5897,CHEMBL4449395,C[C@@H]1C[C@H]2Cc3ncc(C4CCCCN4)cc3[C@]3(C1)NCCC[C@H]23,inactive,30000.0,287.35900000000004,1.8503,1.0,4.0,4.522878745280337
5898,CHEMBL395280,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,active,33.0,352.41000000000014,3.384800000000002,0.0,4.0,7.481486060122112
5899,CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,intermediate,1700.0,336.3670000000001,3.096300000000001,0.0,4.0,5.769551078621726
5900,CHEMBL206106,COc1cc2c(cc1OC)-c1cc3ccc(OC)c(OC)c3c[n+]1CC2,intermediate,1700.0,626.7500000000001,6.164900000000007,3.0,9.0,5.769551078621726
5901,CHEMBL295124,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,active,700.0,594.708,6.556400000000007,2.0,8.0,6.154901959985743
5902,CHEMBL4548293,COc1cc2c(cc1O)C(Cc1ccc(O)c(Oc3cc(CC4c5cc(O)c(OC)cc5CCN4C)ccc3OC)c1)N(C)CC2,inactive,66000.0,594.708,6.556400000000008,2.0,8.0,4.180456064458132
5903,CHEMBL452895,COc1cc2c3cc1Oc1c(O)c(OC)cc4c1[C@@H](Cc1ccc(O)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,inactive,97000.0,608.7349999999999,6.859400000000009,1.0,8.0,4.013228265733755
5904,CHEMBL508781,COc1cc2c3cc1Oc1c(O)c(OC)cc4c1[C@H](Cc1ccc(cc1)Oc1cc(ccc1O)C[C@H]3N(C)CC2)N(C)CC4,inactive,100000.0,504.62700000000035,4.969900000000005,1.0,7.0,4.0
5905,CHEMBL504323,COc1cc2c3cc1Oc1c(OC)c(OC)cc4c1[C@@H](Cc1ccc(O)c(c1)Oc1ccc(cc1)C[C@@H]3N(C)CC2)N(C)CC4,inactive,100000.0,693.885,7.70120000000001,1.0,9.0,4.0
5906,CHEMBL4585711,COc1cc2c(cc1Oc1c3c(cc(OC)c1OC)CCN(C)C3)C(Cc1ccc(O)cc1)N(C)CC2,inactive,100000.0,351.3580000000001,2.9705000000000013,0.0,6.0,4.0
5907,CHEMBL4590539,CCN(CC)Cc1cc2cc(c1O)Oc1ccc(cc1)C[C@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@@H](C2)N(C)CC3,inactive,68000.0,391.43100000000015,2.9821000000000017,0.0,7.0,4.167491087293763
5908,CHEMBL11531,COc1ccc2cc3n(c(=O)c2c1OC)CCc1cc2c(cc1-3)OCO2,inactive,100000.0,390.44300000000015,3.587100000000002,0.0,6.0,4.0
5909,CHEMBL4444239,COc1ccc(C2=NN(C(C)=O)C(c3ccc(-n4cncn4)cc3)C2)cc1OC,inactive,955300.0,440.5030000000002,4.740300000000005,0.0,6.0,3.0198602222542457
5910,CHEMBL4476639,COc1ccc(C2=NN(C(C)=O)C(c3ccc(-n4ccnc4)cc3)C2)cc1OC,inactive,205600.0,498.62700000000035,4.723600000000005,0.0,6.0,3.686976889676762
5911,CHEMBL4448071,COc1ccc(C2=NN(C(C)=O)C(c3ccc(-n4cnc5ccccc54)cc3)C2)cc1OC,inactive,319200.0,497.63900000000035,5.860500000000006,0.0,5.0,3.4959371173213083
5912,CHEMBL4465544,COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCN(Cc5ccccc5)CC4)cc3)C2)cc1OC,inactive,62800.0,422.5290000000003,3.153200000000002,0.0,6.0,4.2020403562628035
5913,CHEMBL4576193,COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCC(Cc5ccccc5)CC4)cc3)C2)cc1OC,inactive,20100.0,436.5560000000002,3.543300000000002,0.0,6.0,4.696803942579511
5914,CHEMBL4582736,COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCN(C)CC4)cc3)C2)cc1OC,intermediate,6500.0,421.5410000000003,4.637700000000004,0.0,5.0,5.187086643357144
5915,CHEMBL4594199,CCN1CCN(c2ccc(C3CC(c4ccc(OC)c(OC)c4)=NN3C(C)=O)cc2)CC1,inactive,47900.0,484.6000000000003,4.728000000000005,0.0,6.0,4.319664486585436
5916,CHEMBL4445377,COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCC(C)CC4)cc3)C2)cc1OC,inactive,77400.0,468.6010000000003,4.715000000000004,0.0,5.0,4.111259039317107
5917,CHEMBL4483487,COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCN(c5ccccc5)CC4)cc3)C2)cc1OC,inactive,294900.0,406.53000000000014,3.5347000000000026,0.0,5.0,3.530325227448202
5918,CHEMBL4475612,COc1ccc(C2=NN(C(C)=O)C(c3ccc(N4CCN(Cc5ccccc5)CC4)cc3)C2)cc1,inactive,100200.0,379.50000000000017,4.361100000000004,0.0,4.0,3.999132278468773
5919,CHEMBL4532224,CCN1CCN(c2ccc(C3CC(c4ccc(OC)cc4)=NN3C(C)=O)cc2)CC1,inactive,221200.0,270.33200000000005,3.014000000000001,1.0,3.0,3.655214877367339
5920,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,active,6.2,566.8340000000004,7.521120000000008,1.0,5.0,8.207608310501746
5921,CHEMBL14638,O=C(c1ccc(OCCCc2c[nH]cn2)cc1)C1CC1,inactive,86100.0,457.6180000000001,5.696600000000005,1.0,4.0,4.064996848546345
5922,CHEMBL4589118,Cc1c(OCc2ccccc2)cccc1N1CCN(CCCCCCNc2c3c(nc4c2CCCC4)CCCC3)CC1,active,14.0,385.4640000000002,2.3483,0.0,7.0,7.853871964321762
5923,CHEMBL4591636,COc1ccccc1CN1CCN(CCCCCOc2cccc3[nH]c4ccccc4c23)CC1,intermediate,2400.0,548.8410000000001,7.307600000000008,3.0,4.0,5.619788758288394
5924,CHEMBL4545210,COc1cc2c(cc1OC)-c1cc(OCCN3CCCCC3)nc(=O)n1CC2,intermediate,5000.0,313.44500000000005,3.5808000000000026,0.0,4.0,5.301029995663981
5925,CHEMBL4566976,COc1ccc2nc3c(c(NCCCCCCCCNC(=S)NC45CC6CC(CC(C6)C4)C5)c2c1)CCCC3,intermediate,1600.0,327.4280000000001,2.597500000000001,0.0,5.0,5.795880017344075
5926,CHEMBL3323035,c1cc2c(cc1OCCCN1CCCCC1)CN1CCCC1=N2,active,33.9,353.5100000000001,3.4981000000000027,0.0,4.0,7.4698003017969175
5927,CHEMBL3323053,O=c1c2cc(OCCCN3CCCCC3)ccc2nc2n1CCC2,intermediate,5400.0,443.63500000000016,5.314500000000006,0.0,4.0,5.267606240177032
5928,CHEMBL4173258,C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,active,530.0,391.9020000000002,4.993400000000004,1.0,4.0,6.275724130399211
5929,CHEMBL1929421,C#CCN(C)Cc1cc2cc(OCCCC3CCN(Cc4ccccc4)CC3)ccc2n1C,active,810.0,511.02900000000017,6.141100000000006,1.0,7.0,6.0915149811213505
5930,CHEMBL4542112,C#CCOc1ccc(/C=N/Nc2c3c(nc4ccccc24)CCCC3)cc1.Cl,intermediate,2730.0,545.4740000000003,6.7945000000000055,1.0,7.0,5.5638373529592435
5931,CHEMBL4445026,C(=N/Nc1c2c(nc3ccccc13)CCCC2)\c1ccc(OCc2cn(-c3ccccc3)nn2)cc1.Cl,active,900.0,589.9250000000002,6.903600000000006,1.0,7.0,6.045757490560675
5932,CHEMBL4443988,Cl.Clc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1,intermediate,7030.0,525.0560000000004,6.449520000000006,1.0,7.0,5.153044674980176
5933,CHEMBL4526428,Brc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1.Cl,inactive,12800.0,541.0550000000004,6.149700000000006,1.0,8.0,4.892790030352131
5934,CHEMBL4592037,Cc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1.Cl,intermediate,3750.0,555.0380000000002,5.839300000000005,2.0,8.0,5.425968732272281
5935,CHEMBL4553902,COc1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1.Cl,intermediate,2300.0,556.0260000000002,6.049300000000005,1.0,9.0,5.638272163982407
5936,CHEMBL4557164,Cl.O=C(O)c1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1,intermediate,4030.0,556.0260000000003,6.049300000000005,1.0,9.0,5.394694953858891
5937,CHEMBL4441059,Cl.O=[N+]([O-])c1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1,intermediate,1050.0,525.0560000000003,6.200200000000006,1.0,7.0,5.978810700930062
5938,CHEMBL4447258,Cl.O=[N+]([O-])c1cccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)c1,intermediate,1460.0,590.1090000000003,4.7885000000000035,2.0,9.0,5.835647144215563
5939,CHEMBL4466829,C(=N/Nc1c2c(nc3ccccc13)CCCC2)\c1ccc(OCc2cn(Cc3ccccc3)nn2)cc1.Cl,intermediate,1050.0,348.475,4.427100000000003,3.0,3.0,5.978810700930062
5940,CHEMBL4444030,Cl.NS(=O)(=O)c1ccc(-n2cc(COc3ccc(/C=N/Nc4c5c(nc6ccccc46)CCCC5)cc3)nn2)cc1,intermediate,1110.0,382.9200000000001,5.080500000000003,3.0,3.0,5.954677021213342
5941,CHEMBL4580216,S=C(NNc1c2c(nc3ccccc13)CCCC2)Nc1ccccc1,active,610.0,427.37100000000004,5.189600000000003,3.0,3.0,6.214670164989233
5942,CHEMBL4435058,S=C(NNc1c2c(nc3ccccc13)CCCC2)Nc1ccc(Cl)cc1,active,786.0,378.5010000000002,4.435700000000002,3.0,4.0,6.104577453960592
5943,CHEMBL4435178,S=C(NNc1c2c(nc3ccccc13)CCCC2)Nc1ccc(Br)cc1,active,571.0,362.50200000000024,4.104800000000003,3.0,3.0,6.243363891754152
5944,CHEMBL4525409,COc1ccc(NC(=S)NNc2c3c(nc4ccccc24)CCCC3)cc1,active,293.0,312.4420000000002,3.090600000000001,3.0,3.0,6.533132379645891
5945,CHEMBL4458648,S=C(NCc1ccccc1)NNc1c2c(nc3ccccc13)CCCC2,active,218.0,427.55500000000023,3.0745000000000013,4.0,5.0,6.661543506395395
5946,CHEMBL4556651,C=CCNC(=S)NNc1c2c(nc3ccccc13)CCCC2,intermediate,5770.0,198.26899999999992,2.695800000000001,1.0,2.0,5.238824186844268
5947,CHEMBL4459154,NS(=O)(=O)c1ccc(NC(=S)NNc2c3c(nc4ccccc24)CCCC3)cc1,active,961.0,198.26899999999992,2.695800000000001,1.0,2.0,6.017276612331455
5948,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,active,412.0,287.35900000000004,1.8503,1.0,4.0,6.3851027839668655
5949,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,active,400.0,198.26899999999992,2.695800000000001,1.0,2.0,6.3979400086720375
5950,CHEMBL659,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,intermediate,3800.0,250.34199999999998,2.7597000000000014,0.0,3.0,5.42021640338319
5951,CHEMBL95,Nc1c2c(nc3ccccc13)CCCC2,active,30.0,379.50000000000017,4.361100000000004,0.0,4.0,7.522878745280337
5952,CHEMBL636,CCN(C)C(=O)Oc1cccc([C@H](C)N(C)C)c1,intermediate,4150.0,624.7820000000003,5.393700000000006,3.0,6.0,5.3819519032879075
5953,CHEMBL502,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,active,5.7,638.8090000000003,5.7838000000000065,3.0,6.0,8.244125144327509
5954,CHEMBL4536838,COc1ccc2[nH]cc(CCNC(=O)CN(CCC3CCN(Cc4ccccc4)CC3)C(=O)/C=C/c3ccc(O)c(OC)c3)c2c1,active,30.7,574.772,9.431799999999999,2.0,4.0,7.512861624522813
5955,CHEMBL4541077,COc1ccc2[nH]cc(CCNC(=O)CN(CCCC3CCN(Cc4ccccc4)CC3)C(=O)/C=C/c3ccc(O)c(OC)c3)c2c1,active,26.2,477.6080000000004,5.934100000000005,2.0,4.0,7.581698708680254
